Ward,Suburb,Property_Code,Park_Name,Node_Id,Node_Name,Item_Id,Item_Type,Item_Description,Easting,Northing,Long,Lat
RICHLANDS,CAROLE PARK,D1360,JULIE ROAD PARK,18500,JULIE RD DOG OFF LEASH AREA,120131,TAP COMBINATION,Bubbler & 2 taps,493616,6945548,152.9352999,-27.6140538
RICHLANDS,CAROLE PARK,D1362,WARREN RITCHIE MEMORIAL COMPLEX PARK,18490,FOREST LAKE MAGPIES JR RUGBY LEAGUE FACILITY,122838,BUBBLER/DRINKING FOUNTAIN,Bubbler,493083,6946244,152.9299021,-27.60776782
RICHLANDS,DARRA,D0326,BALFOUR PARK,24484,BALFOUR PK COMMUNITY GARDEN,67569,TAP COMBINATION,Bubbler & 2 taps,495618,6950486,152.9556076,-27.56948235
RICHLANDS,DARRA,D0327,DUCIE STREET PARK,18620,BALANCE OF PARK,119460,TAP COMBINATION,Bubbler & Tap,494988,6950043,152.9492234,-27.57347951
RICHLANDS,DARRA,D0327,DUCIE STREET PARK,18623,DUCIE ST PICNIC AREA,119472,TAP COMBINATION,Bubbler & 2 taps,495055,6950235,152.949903,-27.57174641
RICHLANDS,DARRA,D0705,SANANANDA STREET PARK,18742,SANANANDA ST HALF COURT,44280,TAP COMBINATION,Bubbler & Tap,494355,6950048,152.9428105,-27.57343188
RICHLANDS,DOOLANDELLA,D1187,WALLAROO WAY COMMUNITY PARK,11669,WALLAROO WAY (CURRAWONG ST) PLAYGROUND,41394,BUBBLER/DRINKING FOUNTAIN,Bubbler,498312,6946355,152.9828937,-27.60678238
RICHLANDS,DURACK,D0855,DURELLA STREET PARK,18579,SYCAMORE ST DOG OFF LEASH AREA,30756,TAP COMBINATION,Bubbler 2 taps & dog bowl,497866,6947352,152.9783757,-27.59778102
RICHLANDS,FOREST LAKE,D1220,JIMBOUR CLOSE PARK,18521,BALANCE OF PARK,120291,TAP COMBINATION,2 taps 1 fountain,495784,6946297,152.9572746,-27.60730047
RICHLANDS,FOREST LAKE,D2015,ROXWELL STREET PARK,30303,PATON CRES PICNIC AREA,44382,TAP COMBINATION,Bubbler & Tap,494663,6944425,152.945906,-27.62419655
RICHLANDS,FOREST LAKE,D2035,JUBILEE AVENUE PARK,30305,JUBILEE AVE PICNIC AREA,44421,TAP COMBINATION,Bubbler & Tap,494702,6944105,152.9462998,-27.62708559
RICHLANDS,INALA,D0565,MCEWAN PARK,18653,FREDERICK COOKMAN PLACE PLAYGROUND,130466,TAP COMBINATION,NULL,496179,6948111,152.9612833,-27.59092518
